Bernard Pettaway;male;date de naissance;instrument;country;White
Danny Davis;male;date de naissance;instrument;country;AIAN
Marshall Allen;male;date de naissance;instrument;country;White
Robert Cummings;male;date de naissance;instrument;country;White
John Gilmore;male;date de naissance;instrument;country;White
Pat Patrick;andy;date de naissance;instrument;country;Black
Ronnie Boykins;mostly_male;date de naissance;instrument;country;Black
Jimhmi Johnson;unknown;date de naissance;instrument;country;White
Sonny Rollins;male;date de naissance;instrument;country;2PRACE
Jim Hall;male;date de naissance;instrument;country;White
Bob Cranshaw;male;date de naissance;instrument;country;Black
Ben Riley;male;date de naissance;instrument;country;API
Harry Saunders;male;date de naissance;instrument;country;White
Andrew Hill;male;date de naissance;instrument;country;White
Kenny Dorham;male;date de naissance;instrument;country;White
Tony Williams;male;date de naissance;instrument;country;API
Art Davis;male;date de naissance;instrument;country;White
George Russell;male;date de naissance;instrument;country;White
Art Farmer;male;date de naissance;instrument;country;White
Hal McKusick;male;date de naissance;instrument;country;Black
Barry Galbraith;male;date de naissance;instrument;country;White
Teddy Kotick;male;date de naissance;instrument;country;White
Joe Harris;male;date de naissance;instrument;country;AIAN
Osie Johnson;unknown;date de naissance;instrument;country;White
Stan Getz;male;date de naissance;instrument;country;White
Hershey Kay;unknown;date de naissance;instrument;country;White
Chick Corea;unknown;date de naissance;instrument;country;White
Joe Farrell;male;date de naissance;instrument;country;AIAN
Stanley Clarke;male;date de naissance;instrument;country;White
Airto Moreira;unknown;date de naissance;instrument;country;White
Flora Purim;female;date de naissance;instrument;country;White
Billie Holiday;mostly_female;date de naissance;instrument;country;AIAN
Howard McGhee;male;date de naissance;instrument;country;White
Buck Clayton;male;date de naissance;instrument;country;White
Trummy Young;unknown;date de naissance;instrument;country;White
Willie Smith;mostly_male;date de naissance;instrument;country;White
Illinois Jacquet;unknown;date de naissance;instrument;country;White
Wardell Gray;male;date de naissance;instrument;country;White
Milt Raskin;male;date de naissance;instrument;country;White
Ken Kersey;male;date de naissance;instrument;country;Black
Tommy Tucker;male;date de naissance;instrument;country;API
Charles Mingus;male;date de naissance;instrument;country;Hispanic
J.C. Heard;unknown;date de naissance;instrument;country;White
Jackie Mills;andy;date de naissance;instrument;country;White
Larry Young;male;date de naissance;instrument;country;Black
Cannonball Adderley;unknown;date de naissance;instrument;country;White
Hank Jones;male;date de naissance;instrument;country;White
Sam Jones;mostly_male;date de naissance;instrument;country;API
Rolf Ericson;male;date de naissance;instrument;country;White
Richard Williams;male;date de naissance;instrument;country;White
Quentin Jackson;male;date de naissance;instrument;country;White
Don Butterfield;male;date de naissance;instrument;country;Black
Dick Hafer;male;date de naissance;instrument;country;White
Charlie Mariano;mostly_male;date de naissance;instrument;country;AIAN
Jay Berliner;male;date de naissance;instrument;country;White
Dannie Richmond;male;date de naissance;instrument;country;White
Ella Fitzgerald;female;date de naissance;instrument;country;Black
Duke Ellington;male;date de naissance;instrument;country;White
Willie Cook;mostly_male;date de naissance;instrument;country;White
Ray Nance;mostly_male;date de naissance;instrument;country;White
Clark Terry;male;date de naissance;instrument;country;White
Cat Anderson;mostly_male;date de naissance;instrument;country;Black
Britt Woodman;female;date de naissance;instrument;country;White
John Sanders;male;date de naissance;instrument;country;White
Johnny Hodges;male;date de naissance;instrument;country;White
Russell Procope;male;date de naissance;instrument;country;White
Jimmy Hamilton;male;date de naissance;instrument;country;API
Paul Gonsalves;male;date de naissance;instrument;country;White
Harry Carney;male;date de naissance;instrument;country;White
Jimmy Woode;male;date de naissance;instrument;country;API
Sam Woodyard;mostly_male;date de naissance;instrument;country;API
Woody Herman;male;date de naissance;instrument;country;White
Sonny Berman;male;date de naissance;instrument;country;2PRACE
Pete Candoli;male;date de naissance;instrument;country;Black
Conte Candoli;unknown;date de naissance;instrument;country;White
Shorty Rogers;unknown;date de naissance;instrument;country;AIAN
Conrad Gozzo;male;date de naissance;instrument;country;White
Bill Harris;male;date de naissance;instrument;country;White
Sam Marowitz;mostly_male;date de naissance;instrument;country;API
John LaPorta;male;date de naissance;instrument;country;White
Flip Phillips;male;date de naissance;instrument;country;White
Pete Mondello;male;date de naissance;instrument;country;Black
Herbie Steward;unknown;date de naissance;instrument;country;White
Zoot Sims;unknown;date de naissance;instrument;country;White
Serge Chaloff;male;date de naissance;instrument;country;White
Margie Hyams;female;date de naissance;instrument;country;White
Red Norvo;andy;date de naissance;instrument;country;API
Ralph Burns;male;date de naissance;instrument;country;White
Jimmy Rowles;male;date de naissance;instrument;country;API
Billy Bauer;male;date de naissance;instrument;country;AIAN
Chubby Jackson;unknown;date de naissance;instrument;country;White
Dave Tough;male;date de naissance;instrument;country;API
Don Lamond;male;date de naissance;instrument;country;Black
Jan Garbarek;male;date de naissance;instrument;country;2PRACE
Terje Rypdal;male;date de naissance;instrument;country;White
Arild Andersen;male;date de naissance;instrument;country;White
Jon Christensen;male;date de naissance;instrument;country;Black
Jimmy Smith;male;date de naissance;instrument;country;API
Thornel Schwartz;unknown;date de naissance;instrument;country;White
Bay Perry;mostly_male;date de naissance;instrument;country;White
Donald Bailey;male;date de naissance;instrument;country;White
Pat Metheny;andy;date de naissance;instrument;country;Black
Jaco Pastorius;male;date de naissance;instrument;country;White
Bob Moses;male;date de naissance;instrument;country;Black
Joao Gilberto;unknown;date de naissance;instrument;country;White
Antonio Carlos Jobim;male;date de naissance;instrument;country;AIAN
Tommy Williams;male;date de naissance;instrument;country;API
Milton Banana;male;date de naissance;instrument;country;White
Astrud Gilberto;unknown;date de naissance;instrument;country;White
George Coleman;male;date de naissance;instrument;country;White
Lee Morgan;mostly_male;date de naissance;instrument;country;White
Benny Golson;male;date de naissance;instrument;country;API
Bobby Timmons;male;date de naissance;instrument;country;White
Jymie Merritt;unknown;date de naissance;instrument;country;White
Cecil Taylor;male;date de naissance;instrument;country;White
Jimmy Lyons;male;date de naissance;instrument;country;API
Sunny Murray;male;date de naissance;instrument;country;API
Bud Powell;male;date de naissance;instrument;country;White
Percy Heath;male;date de naissance;instrument;country;White
Connie Kay;mostly_female;date de naissance;instrument;country;White
Wes Montgomery;male;date de naissance;instrument;country;White
Tommy Flanagan;male;date de naissance;instrument;country;API
Albert Heath;male;date de naissance;instrument;country;White
Frank Sinatra;male;date de naissance;instrument;country;White
Nelson Riddle;male;date de naissance;instrument;country;White
Jelly Morton;female;date de naissance;instrument;country;White
George Mitchell;male;date de naissance;instrument;country;White
Edward Kid Ory;male;date de naissance;instrument;country;Black
Omer Simeon;male;date de naissance;instrument;country;White
Barney Bigard;male;date de naissance;instrument;country;White
Darnell Howard;mostly_male;date de naissance;instrument;country;White
Johnny Dodds;male;date de naissance;instrument;country;White
Stump Evans;unknown;date de naissance;instrument;country;White
Johnny St Cyr;male;date de naissance;instrument;country;White
