Eureka Brass Band,1970-04-26,Parade,,"Percy Humphrey, Oscar Chicken Henry, Earl Humphrey, Albert Brown, Punch Miller, Paul Barnes, Cie Frazier, Eddie Summers, Booker T. Blass, Terry Humphrey, Willie Humphrey, Alvin Alcorn"
"Clifton Chenier and Buckwheat Zydeco Tribute: C.J. Chenier, Reginald Dural, Nathan Williams, and Lee Allen Zeno",2019-05-04,Allison Miner Music Heritage Stage,2:30 PM,Interviewer: Michael Tisserand; 1970 - First Festival Artist
The Young Tuxedo Brass Band,1970-04-23,Municipal Auditorium,8:00 PM,"Andrew Morgan, Homer Eugene, Worthia Thomas, Albert Walters, Thomas Jefferson , Reginald Koeller, Ernest Poree, Lawrence Trotter, Emile Knox, Durell Johnson"
The Roots of Soul,1970-04-25,Municipal Auditorium,12:30 PM,"Rev. Fred Kirkpatrick, the Rev. J. L. Kirckpatrick,  Robert Kirkpatrick, the Mount Calvery Gospel Singers and the Southern University Orchestra directed by Alvin Baptiste"
The Musical World of French Louisiana,1970-04-23,Municipal Auditorium,3:00 PM,"Dick Allen and Revon Reed (MCs), Adam Landreneau, Cyprien Landreneau, Savy Augustine, Sady Courville, Jerry Deville, Bois Sec Adoin and Sons, Ambrose Thibodaux"
Tribute to Dave Bartholomew and Fats Domino ,2019-04-28,Acura Stage,12:15 PM,"with special guests Bonnie Raitt, Irma Thomas, Davell Crawford, Jon Cleary, and Al 'Lil Fats' Jackson featuring the Fats Domino Orchestra; 1970 - First Festival Artist"
Eureka Brass Band,1970-04-23,Municipal Auditorium,12:00 PM,"Percy Humphrey, Oscar Chicken Henry, Earl Humphrey, Albert Brown, Punch Miller, Paul Barnes, Cie Frazier, Eddie Summers, Booker T. Blass, Terry Humphrey, Willie Humphrey, Alvin Alcorn"
New Orleans Potpourri,1970-04-23,Municipal Auditorium,12:30 PM,"Harry Souchon (MC), Armand Hug, Raymond Burke, Johnny Wiggs, The Last Straws and the Louis Cottrell Trio with Emanuel Sayles and Placide Adams, Sherwood Mangiapane, George Finola, Dick Johnson"
The Onward Brass Band,1970-04-25,Municipal Auditorium,8:00 PM,"Louis Cottrell, Wendell Eugene, Jerry Green, Alvin Alcorn, Albert Walters, Danny Barker, Louis Barbarin, Homer Eugene, Chester Jones, Placide Adams, Oscar Rousan, John Brunious, Sam Alcorn, Ted Reilly, Freddie Kohlman"
Ragtime to Jelly Roll,1970-04-24,Municipal Auditorium,3:00 PM,"The New Orleans Ragtime Orchestra with Lars Edergran, Bill Russell, Orange Kellin, Lionel Ferbos, Paul Crawford, Frank Amacker, Chester Zardis, Irwin LeClere, Don Ewell, Cie Frazier, Louis Cottrell, James Ferbos,  Dick Allen and Bill Russell (MCs)"
